Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
236,3,23,21,0,0,14.28,2,bowled,1,v Australia,Perth,30-01-2000,ODI # 1552
237,26,66,25,4,0,104.00,2,caught,2,v South Africa,Kochi,09-03-2000,ODI # 1572
238,21,39,31,3,0,67.74,2,caught,2,v South Africa,Jamshedpur,12-03-2000,ODI # 1573
239,12,48,28,1,0,42.85,2,lbw,1,v South Africa,Faridabad,15-03-2000,ODI # 1574
240,122,195,138,12,0,88.40,2,caught,2,v South Africa,Vadodara,17-03-2000,ODI # 1575
241,93,119,89,7,4,104.49,2,caught,2,v South Africa,Nagpur,19-03-2000,ODI # 1576
242,5,10,8,0,0,62.50,2,bowled,1,v South Africa,Sharjah,22-03-2000,ODI # 1577
243,11,54,28,1,0,39.28,2,lbw,2,v Pakistan,Sharjah,23-03-2000,ODI # 1578
244,10,23,18,1,0,55.55,2,bowled,2,v Pakistan,Sharjah,26-03-2000,ODI # 1580
245,39,117,68,3,0,57.35,1,run out,1,v South Africa,Sharjah,27-03-2000,ODI # 1581
246,36,55,25,4,2,144.00,2,caught,2,v Bangladesh,Dhaka,30-05-2000,ODI # 1597
247,93,174,95,10,0,97.89,2,caught,2,v Sri Lanka,Dhaka,01-06-2000,ODI # 1598
248,25,74,30,4,0,83.33,2,lbw,2,v Pakistan,Dhaka,03-06-2000,ODI # 1600
249,25,55,35,4,0,71.42,2,lbw,2,v Kenya,Nairobi (Gym),03-10-2000,ODI # 1630
250,38,58,37,3,3,102.70,2,caught,1,v Australia,Nairobi (Gym),07-10-2000,ODI # 1633
251,39,61,50,4,0,78.00,2,caught,1,v South Africa,Nairobi (Gym),13-10-2000,ODI # 1638
252,69,103,83,10,1,83.13,2,run out,1,v New Zealand,Nairobi (Gym),15-10-2000,ODI # 1639
253,101,-,140,3,1,72.14,2,run out,1,v Sri Lanka,Sharjah,20-10-2000,ODI # 1640
254,8,-,15,1,0,53.33,2,caught,1,v Zimbabwe,Sharjah,22-10-2000,ODI # 1644
255,4,-,10,0,0,40.00,1,caught,2,v Zimbabwe,Sharjah,26-10-2000,ODI # 1648
256,61,-,54,7,0,112.96,2,caught,2,v Sri Lanka,Sharjah,27-10-2000,ODI # 1650
257,5,-,11,0,0,45.45,2,caught,2,v Sri Lanka,Sharjah,29-10-2000,ODI # 1652
258,44,90,49,7,0,89.79,2,caught,2,v Zimbabwe,Cuttack,02-12-2000,ODI # 1656
259,8,27,20,0,0,40.00,1,caught,1,v Zimbabwe,Ahmedabad,05-12-2000,ODI # 1657
260,146,200,153,15,2,95.42,2,caught,1,v Zimbabwe,Jodhpur,08-12-2000,ODI # 1658
261,62,113,86,9,0,72.09,2,lbw,2,v Zimbabwe,Kanpur,11-12-2000,ODI # 1659
262,27,38,38,5,0,71.05,2,bowled,1,v Zimbabwe,Rajkot,14-12-2000,ODI # 1660
263,35,47,26,6,1,134.61,2,run out,1,v Australia,Bengaluru,25-03-2001,ODI # 1696
264,32,35,29,6,1,110.34,2,caught,1,v Australia,Pune,28-03-2001,ODI # 1698
265,139,197,125,19,0,111.20,2,caught,1,v Australia,Indore,31-03-2001,ODI # 1699
266,62,68,38,11,0,163.15,2,caught,2,v Australia,Visakhapatnam,03-04-2001,ODI # 1700
267,12,17,15,2,0,80.00,2,caught,1,v Australia,Margao,06-04-2001,ODI # 1701
268,70*,129,70,13,0,100.00,2,not out,2,v Zimbabwe,Harare,24-06-2001,ODI # 1729
269,9,42,27,0,0,33.33,2,caught,2,v Zimbabwe,Bulawayo,27-06-2001,ODI # 1730
270,81*,191,110,8,0,73.63,2,not out,2,v West Indies,Bulawayo,30-06-2001,ODI # 1731
271,122*,210,131,12,1,93.12,2,not out,2,v West Indies,Harare,04-07-2001,ODI # 1733
272,0,10,4,0,0,0.00,2,caught,2,v West Indies,Harare,07-07-2001,ODI # 1734
273,101,209,129,9,0,78.29,2,caught,1,v South Africa,Johannesburg,05-10-2001,ODI # 1752
274,38,82,57,5,0,66.66,2,caught,1,v South Africa,Centurion,10-10-2001,ODI # 1757
275,DNB,-,-,-,-,-,-,-,2,v Kenya,Bloemfontein,12-10-2001,ODI # 1758
276,3,24,20,0,0,15.00,2,bowled,2,v Kenya,Gqeberha,17-10-2001,ODI # 1761
277,37,68,35,5,0,105.71,2,bowled,2,v South Africa,East London,19-10-2001,ODI # 1762
278,146,186,132,17,0,110.60,2,caught,1,v Kenya,Paarl,24-10-2001,ODI # 1764
279,17,49,42,3,0,40.47,2,bowled,1,v South Africa,Durban,26-10-2001,ODI # 1766
280,36,71,43,6,0,83.72,2,bowled,1,v England,Eden Gardens,19-01-2002,ODI # 1788
281,45,101,60,6,0,75.00,2,run out,2,v England,Cuttack,22-01-2002,ODI # 1792
282,68,110,79,10,0,86.07,1,lbw,2,v England,Chennai,25-01-2002,ODI # 1795
283,87*,120,67,13,1,129.85,1,not out,2,v England,Kanpur,28-01-2002,ODI # 1798
284,18,20,16,3,0,112.50,2,caught,2,v England,Delhi,31-01-2002,ODI # 1800
285,12,22,18,1,1,66.66,2,caught,2,v England,Wankhede,03-02-2002,ODI # 1803
286,34*,64,45,2,0,75.55,4,not out,2,v West Indies,Bridgetown,29-05-2002,ODI # 1836
287,65,110,70,3,1,92.85,4,bowled,1,v West Indies,Port of Spain,02-06-2002,ODI # 1838
288,1,12,9,0,0,11.11,4,lbw,2,v England,Lord's,29-06-2002,ODI # 1848
